date,timestamp,container_name,token_count,tokens_per_second,audio_duration,real_time_factor,container_runtime_sec,wer,mer,wil,wip,cer,threads
2025-04-17,18:21:04,whisper-small_en-ubuntu_jfk-audio-inaugural-address-20-january-1961_cpu_complex,1425,1.44,930.142,1.064,990,0.4035,0.3872,0.5357,0.4643,0.0977,4
2025-04-17,18:22:31,whisper-small_en-ubuntu_jfk-audio-rice-university-12-september-1962_cpu_fast,2244,2.08,1107.122,0.974,1078,0.3479,0.3412,0.4811,0.5189,0.0693,4
2025-04-17,18:25:26,whisper-small_en-ubuntu_jfk-audio-rice-university-12-september-1962_cpu_complex,2207,1.76,1107.122,1.132,1253,0.1885,0.1860,0.2908,0.7092,0.0345,4
2025-04-17,18:26:03,whisper-medium_en-ubuntu_harvard_gpu_complex-gpu1,,NA,18.356,1.961,36,NA,NA,NA,NA,NA,0
2025-04-17,18:26:06,whisper-medium_en-ubuntu_harvard_gpu_fast-gpu0,43,1.23,18.356,1.907,35,0.0000,0.0000,0.0000,1.0000,0.0000,0
2025-04-17,18:26:18,whisper-medium_en-ubuntu_harvard_cpu_fast,43,0.88,18.356,2.669,49,0.0000,0.0000,0.0000,1.0000,0.0000,4
2025-04-17,18:26:23,whisper-medium_en-ubuntu_harvard_cpu_complex,43,0.80,18.356,2.942,54,0.0000,0.0000,0.0000,1.0000,0.0000,4
2025-04-17,18:26:47,whisper-medium_en-ubuntu_jfk-audio-inaugural-address-20-january-1961_gpu_fast-gpu2,1478,18.95,930.142,0.084,78,0.2524,0.2327,0.3302,0.6698,0.1150,0
2025-04-17,18:27:07,whisper-medium_en-ubuntu_jfk-audio-rice-university-12-september-1962_gpu_fast-gpu0,2301,23.48,1107.122,0.089,98,0.1829,0.1752,0.2578,0.7422,0.0749,0
2025-04-17,18:27:14,whisper-medium_en-ubuntu_jfk-audio-inaugural-address-20-january-1961_gpu_complex-gpu3,1453,14.25,930.142,0.110,102,0.2231,0.2065,0.2912,0.7088,0.1071,0
2025-04-17,18:27:37,whisper-medium_en-ubuntu_jfk-audio-rice-university-12-september-1962_gpu_complex-gpu1,2219,17.07,1107.122,0.117,130,0.1664,0.1636,0.2572,0.7428,0.0448,0
2025-04-17,18:39:20,whisper-medium_en-ubuntu_jfk-audio-inaugural-address-20-january-1961_cpu_fast,1428,1.72,930.142,0.894,832,0.2592,0.2463,0.3624,0.6376,0.0862,4
2025-04-17,18:44:40,whisper-medium_en-ubuntu_jfk-audio-rice-university-12-september-1962_cpu_fast,2222,1.94,1107.122,1.037,1148,0.1562,0.1542,0.2390,0.7610,0.0385,4
2025-04-17,18:45:30,whisper-medium_en-ubuntu_jfk-audio-inaugural-address-20-january-1961_cpu_complex,1440,1.20,930.142,1.289,1199,0.2254,0.2128,0.3082,0.6918,0.0900,4
2025-04-17,18:46:03,whisper-medium_en-ubuntu_jfk-audio-rice-university-12-september-1962_cpu_complex,2212,1.79,1107.122,1.114,1233,0.1908,0.1878,0.2925,0.7075,0.0378,4
2025-04-17,18:46:39,whisper-large-ubuntu_harvard_gpu_complex-gpu1,,NA,18.356,1.907,35,NA,NA,NA,NA,NA,0
2025-04-17,18:46:42,whisper-large-ubuntu_harvard_gpu_fast-gpu0,43,1.34,18.356,1.743,32,0.0000,0.0000,0.0000,1.0000,0.0000,0
2025-04-17,18:46:55,whisper-large-ubuntu_harvard_cpu_fast,43,0.91,18.356,2.560,47,0.0000,0.0000,0.0000,1.0000,0.0000,4
2025-04-17,18:47:02,whisper-large-ubuntu_harvard_cpu_complex,43,0.78,18.356,2.996,55,0.0000,0.0000,0.0000,1.0000,0.0000,4
2025-04-17,18:47:22,whisper-large-ubuntu_jfk-audio-inaugural-address-20-january-1961_gpu_fast-gpu2,1435,18.88,930.142,0.082,76,0.2246,0.2125,0.3117,0.6883,0.0851,0
2025-04-17,18:47:45,whisper-large-ubuntu_jfk-audio-rice-university-12-september-1962_gpu_fast-gpu0,2232,22.78,1107.122,0.089,98,0.1641,0.1613,0.2478,0.7522,0.0431,0
2025-04-17,18:48:00,whisper-large-ubuntu_jfk-audio-inaugural-address-20-january-1961_gpu_complex-gpu3,1454,12.64,930.142,0.124,115,0.2254,0.2114,0.3067,0.6933,0.0999,0
