date,timestamp,model,model_name,model_dir,input_file,output_dir,start_time,end_time,duration,wer,mer,wil,wip,cer,executed_command
2025-03-04,20250304_221131,whisper,large,/tmp/,audio-samples/harvard.wav,/tmp,1741126273.980247,1741126291.0990858,17.118838787078857,0.0,0.0,0.0,1.0,0.0,python3 evaluations/evaluation.py --model_name large --input audio-samples/harvard.wav --reference_file ground-truth/harvard.txt --language en
2025-03-04,20250304_221200,whisper,turbo,/tmp/,audio-samples/harvard.wav,/tmp,1741126291.147443,1741126320.8312528,29.683809757232666,0.0,0.0,0.0,1.0,0.0,python3 evaluations/evaluation.py --model_name turbo --input audio-samples/harvard.wav --reference_file ground-truth/harvard.txt --language en
2025-03-04,20250304_221210,whisper,turbo,/tmp/,audio-samples/harvard.wav,/tmp,1741126320.8822827,1741126330.2541301,9.37184739112854,0.0,0.0,0.0,1.0,0.0,python3 evaluations/evaluation.py --model_name turbo --input audio-samples/harvard.wav --reference_file ground-truth/harvard.txt --language en
2025-03-04,20250304_221744,whisper,tiny.en,/tmp/,audio-samples/harvard.wav,/tmp,1741126660.0707026,1741126664.8690538,4.798351287841797,0.0,0.0,0.0,1.0,0.0,python3 evaluations/evaluation.py --model_name tiny.en --input audio-samples/harvard.wav --reference_file ground-truth/harvard.txt --language en
2025-03-04,20250304_221748,whisper,tiny.en,/tmp/,audio-samples/harvard.wav,/tmp,1741126664.9229348,1741126668.088759,3.1658241748809814,0.0,0.0,0.0,1.0,0.0,python3 evaluations/evaluation.py --model_name tiny.en --input audio-samples/harvard.wav --reference_file ground-truth/harvard.txt --language en
2025-03-04,20250304_221754,whisper,base.en,/tmp/,audio-samples/harvard.wav,/tmp,1741126668.145156,1741126674.9086063,6.763450384140015,0.0,0.0,0.0,1.0,0.0,python3 evaluations/evaluation.py --model_name base.en --input audio-samples/harvard.wav --reference_file ground-truth/harvard.txt --language en
2025-03-04,20250304_221759,whisper,base.en,/tmp/,audio-samples/harvard.wav,/tmp,1741126674.962882,1741126679.4596684,4.49678635597229,0.0,0.0,0.0,1.0,0.0,python3 evaluations/evaluation.py --model_name base.en --input audio-samples/harvard.wav --reference_file ground-truth/harvard.txt --language en
2025-03-04,20250304_221813,whisper,small.en,/tmp/,audio-samples/harvard.wav,/tmp,1741126679.5154886,1741126693.3869002,13.871411561965942,0.0,0.0,0.0,1.0,0.0,python3 evaluations/evaluation.py --model_name small.en --input audio-samples/harvard.wav --reference_file ground-truth/harvard.txt --language en
2025-03-04,20250304_221821,whisper,small.en,/tmp/,audio-samples/harvard.wav,/tmp,1741126693.4420087,1741126701.6136093,8.171600580215454,0.0,0.0,0.0,1.0,0.0,python3 evaluations/evaluation.py --model_name small.en --input audio-samples/harvard.wav --reference_file ground-truth/harvard.txt --language en
2025-03-04,20250304_221905,whisper,medium.en,/tmp/,audio-samples/harvard.wav,/tmp,1741126701.6688735,1741126745.6579738,43.989100217819214,0.0,0.0,0.0,1.0,0.0,python3 evaluations/evaluation.py --model_name medium.en --input audio-samples/harvard.wav --reference_file ground-truth/harvard.txt --language en
2025-03-04,20250304_221925,whisper,medium.en,/tmp/,audio-samples/harvard.wav,/tmp,1741126745.7133198,1741126765.8657117,20.15239191055298,0.0,0.0,0.0,1.0,0.0,python3 evaluations/evaluation.py --model_name medium.en --input audio-samples/harvard.wav --reference_file ground-truth/harvard.txt --language en
2025-03-04,20250304_222036,whisper,large,/tmp/,audio-samples/harvard.wav,/tmp,1741126765.9215872,1741126836.6627266,70.74113941192627,0.0,0.0,0.0,1.0,0.0,python3 evaluations/evaluation.py --model_name large --input audio-samples/harvard.wav --reference_file ground-truth/harvard.txt --language en
2025-03-04,20250304_222110,whisper,large,/tmp/,audio-samples/harvard.wav,/tmp,1741126836.7168944,1741126870.5531554,33.83626103401184,0.0,0.0,0.0,1.0,0.0,python3 evaluations/evaluation.py --model_name large --input audio-samples/harvard.wav --reference_file ground-truth/harvard.txt --language en
2025-03-04,20250304_222145,whisper,turbo,/tmp/,audio-samples/harvard.wav,/tmp,1741126870.6074855,1741126905.0395722,34.4320867061615,0.0,0.0,0.0,1.0,0.0,python3 evaluations/evaluation.py --model_name turbo --input audio-samples/harvard.wav --reference_file ground-truth/harvard.txt --language en
2025-03-04,20250304_222157,whisper,turbo,/tmp/,audio-samples/harvard.wav,/tmp,1741126905.0935736,1741126917.1861062,12.092532634735107,0.0,0.0,0.0,1.0,0.0,python3 evaluations/evaluation.py --model_name turbo --input audio-samples/harvard.wav --reference_file ground-truth/harvard.txt --language en
2025-03-04,20250304_222426,whisper,tiny.en,/tmp/,audio-samples/harvard.wav,/tmp,1741127062.0896285,1741127066.937571,4.847942590713501,0.0,0.0,0.0,1.0,0.0,python3 evaluations/evaluation.py --model_name tiny.en --input audio-samples/harvard.wav --reference_file ground-truth/harvard.txt --language en
2025-03-04,20250304_222430,whisper,tiny.en,/tmp/,audio-samples/harvard.wav,/tmp,1741127066.991901,1741127070.882708,3.8908071517944336,0.0,0.0,0.0,1.0,0.0,python3 evaluations/evaluation.py --model_name tiny.en --input audio-samples/harvard.wav --reference_file ground-truth/harvard.txt --language en
2025-03-04,20250304_222437,whisper,base.en,/tmp/,audio-samples/harvard.wav,/tmp,1741127070.936923,1741127077.3803139,6.443390846252441,0.0,0.0,0.0,1.0,0.0,python3 evaluations/evaluation.py --model_name base.en --input audio-samples/harvard.wav --reference_file ground-truth/harvard.txt --language en
2025-03-04,20250304_222441,whisper,base.en,/tmp/,audio-samples/harvard.wav,/tmp,1741127077.4364984,1741127081.9056983,4.469199895858765,0.0,0.0,0.0,1.0,0.0,python3 evaluations/evaluation.py --model_name base.en --input audio-samples/harvard.wav --reference_file ground-truth/harvard.txt --language en
2025-03-04,20250304_222452,whisper,small.en,/tmp/,audio-samples/harvard.wav,/tmp,1741127081.9608412,1741127092.5556183,10.59477710723877,0.0,0.0,0.0,1.0,0.0,python3 evaluations/evaluation.py --model_name small.en --input audio-samples/harvard.wav --reference_file ground-truth/harvard.txt --language en
2025-03-04,20250304_222458,whisper,small.en,/tmp/,audio-samples/harvard.wav,/tmp,1741127092.611048,1741127098.7553363,6.1442883014678955,0.0,0.0,0.0,1.0,0.0,python3 evaluations/evaluation.py --model_name small.en --input audio-samples/harvard.wav --reference_file ground-truth/harvard.txt --language en
2025-03-04,20250304_222539,whisper,medium.en,/tmp/,audio-samples/harvard.wav,/tmp,1741127098.81105,1741127139.7229378,40.911887884140015,0.0,0.0,0.0,1.0,0.0,python3 evaluations/evaluation.py --model_name medium.en --input audio-samples/harvard.wav --reference_file ground-truth/harvard.txt --language en
2025-03-04,20250304_222550,whisper,medium.en,/tmp/,audio-samples/harvard.wav,/tmp,1741127139.7784388,1741127150.6273277,10.848888874053955,0.0,0.0,0.0,1.0,0.0,python3 evaluations/evaluation.py --model_name medium.en --input audio-samples/harvard.wav --reference_file ground-truth/harvard.txt --language en
2025-03-04,20250304_222645,whisper,large,/tmp/,audio-samples/harvard.wav,/tmp,1741127150.6834774,1741127205.4597208,54.776243448257446,0.0,0.0,0.0,1.0,0.0,python3 evaluations/evaluation.py --model_name large --input audio-samples/harvard.wav --reference_file ground-truth/harvard.txt --language en
2025-03-04,20250304_222702,whisper,large,/tmp/,audio-samples/harvard.wav,/tmp,1741127205.5152333,1741127222.7422178,17.22698450088501,0.0,0.0,0.0,1.0,0.0,python3 evaluations/evaluation.py --model_name large --input audio-samples/harvard.wav --reference_file ground-truth/harvard.txt --language en
2025-03-04,20250304_222732,whisper,turbo,/tmp/,audio-samples/harvard.wav,/tmp,1741127222.7955163,1741127252.81286,30.017343759536743,0.0,0.0,0.0,1.0,0.0,python3 evaluations/evaluation.py --model_name turbo --input audio-samples/harvard.wav --reference_file ground-truth/harvard.txt --language en
2025-03-04,20250304_222742,whisper,turbo,/tmp/,audio-samples/harvard.wav,/tmp,1741127252.868238,1741127262.3534238,9.485185861587524,0.0,0.0,0.0,1.0,0.0,python3 evaluations/evaluation.py --model_name turbo --input audio-samples/harvard.wav --reference_file ground-truth/harvard.txt --language en

