Date & Time,Pod Name,Processor/GPU Name,Core/GPU Count,Max Usage (%),Max GPU Temperature (C),Max Pwr:Usage/Cap (%),Max VRAM Usage (%)
2025-03-04_22-10-29,whisper-ubuntu-gpu,NVIDIA L4,4,0,36,22.805555555555557,0.017365633411478683
2025-03-04_22-10-39,whisper-ubuntu-gpu,NVIDIA L4,4,0,36,22.805555555555557,0.017365633411478683
2025-03-04_22-10-49,whisper-ubuntu-gpu,NVIDIA L4,4,0,35,22.805555555555557,0.017365633411478683
2025-03-04_22-10-59,whisper-ubuntu-gpu,NVIDIA L4,4,0,35,22.805555555555557,0.017365633411478683
2025-03-04_22-11-09,whisper-ubuntu-gpu,NVIDIA L4,4,77,37,44.66666666666666,41.664495962490236
2025-03-04_22-11-20,whisper-ubuntu-gpu,NVIDIA L4,4,0,38,38.27777777777778,14.695667274463837
2025-03-04_22-11-30,whisper-ubuntu-gpu,NVIDIA L4,4,91,43,99.62500000000001,42.046539897542765
2025-03-04_22-11-40,whisper-ubuntu-gpu,NVIDIA L4,4,0,39,25.583333333333336,0.017365633411478683
2025-03-04_22-11-50,whisper-ubuntu-gpu,NVIDIA L4,4,0,38,22.805555555555557,0.017365633411478683
2025-03-04_22-12-00,whisper-ubuntu-gpu,NVIDIA L4,4,0,40,66.0138888888889,0.004341408352869671
2025-03-04_22-12-11,whisper-ubuntu-gpu,NVIDIA L4,4,0,40,39.61111111111111,0.004341408352869671
2025-03-04_22-12-21,whisper-ubuntu-gpu,NVIDIA L4,4,0,38,25.583333333333336,0.004341408352869671
2025-03-04_22-12-31,whisper-ubuntu-gpu,NVIDIA L4,4,0,37,22.805555555555557,0.004341408352869671
2025-03-04_22-12-41,whisper-ubuntu-gpu,NVIDIA L4,4,0,37,22.805555555555557,0.004341408352869671
2025-03-04_22-12-51,whisper-ubuntu-gpu,NVIDIA L4,4,0,36,22.805555555555557,0.004341408352869671
2025-03-04_22-13-01,whisper-ubuntu-gpu,NVIDIA L4,4,0,36,22.805555555555557,0.004341408352869671
2025-03-04_22-13-11,whisper-ubuntu-gpu,NVIDIA L4,4,0,35,22.805555555555557,0.004341408352869671
2025-03-04_22-13-22,whisper-ubuntu-gpu,NVIDIA L4,4,0,35,22.805555555555557,0.004341408352869671
2025-03-04_22-13-32,whisper-ubuntu-gpu,NVIDIA L4,4,0,35,22.805555555555557,0.004341408352869671
2025-03-04_22-13-42,whisper-ubuntu-gpu,NVIDIA L4,4,0,34,22.805555555555557,0.004341408352869671
2025-03-04_22-13-52,whisper-ubuntu-gpu,NVIDIA L4,4,0,34,22.805555555555557,0.004341408352869671
