repository,tag,size
quay.io/redhat_na_ssa/speech-to-text/whisper,turbo-ubuntu,8.25 GB
quay.io/redhat_na_ssa/speech-to-text/whisper,large-ubuntu,9.72 GB
quay.io/redhat_na_ssa/speech-to-text/whisper,medium.en-ubuntu,8.16 GB
quay.io/redhat_na_ssa/speech-to-text/whisper,small.en-ubuntu,7.12 GB
quay.io/redhat_na_ssa/speech-to-text/whisper,base.en-ubuntu,6.78 GB
quay.io/redhat_na_ssa/speech-to-text/whisper,tiny.en-ubuntu,6.78 GB
