date,timestamp,pod name,processor/gpu name,core/gpu count,max usage (%),max gpu temperature (C),max pwr:usage/cap (%),max vram usage (%)
2025-03-05,013248,whisper-ubuntu-gpu,NVIDIA L4,4,0,33,22.791666666666664,0.017365633411478683
2025-03-05,013258,whisper-ubuntu-gpu,NVIDIA L4,4,25,36,69.02777777777777,22.388642875748893
2025-03-05,013308,whisper-ubuntu-gpu,NVIDIA L4,4,13,39,45.62500000000001,22.327863158808718
2025-03-05,013318,whisper-ubuntu-gpu,NVIDIA L4,4,0,35,28.40277777777778,0.004341408352869671
2025-03-05,013328,No Pod,NVIDIA L4,4,0,34,22.777777777777775,0.004341408352869671
2025-03-05,013338,whisper-ubuntu-gpu,NVIDIA L4,4,0,33,22.777777777777775,0.004341408352869671
2025-03-05,013349,whisper-ubuntu-gpu,NVIDIA L4,4,1,34,31.652777777777775,2.0274377007901365
2025-03-05,013359,whisper-ubuntu-gpu,NVIDIA L4,4,0,35,40.02777777777778,0.017365633411478683
2025-03-05,013409,whisper-ubuntu-gpu,NVIDIA L4,4,0,35,28.388888888888893,0.017365633411478683
2025-03-05,013419,whisper-ubuntu-gpu,NVIDIA L4,4,0,35,28.527777777777775,0.017365633411478683
2025-03-05,013429,whisper-ubuntu-gpu,NVIDIA L4,4,0,35,28.333333333333332,0.017365633411478683
2025-03-05,013439,whisper-ubuntu-gpu,NVIDIA L4,4,0,34,22.777777777777775,0.017365633411478683
2025-03-05,013450,whisper-ubuntu-gpu,NVIDIA L4,4,0,34,22.791666666666664,0.017365633411478683
2025-03-05,013500,whisper-ubuntu-gpu,NVIDIA L4,4,67,39,89.11111111111111,20.209255882608318
2025-03-05,013510,whisper-ubuntu-gpu,NVIDIA L4,4,75,37,40.52777777777778,18.86341929321872
2025-03-05,013520,whisper-ubuntu-gpu,NVIDIA L4,4,0,36,28.611111111111114,0.017365633411478683
2025-03-05,013530,whisper-ubuntu-gpu,NVIDIA L4,4,0,35,22.916666666666664,0.017365633411478683
2025-03-05,013541,whisper-ubuntu-gpu,NVIDIA L4,4,0,34,22.916666666666664,0.017365633411478683
2025-03-05,013551,whisper-ubuntu-gpu,NVIDIA L4,4,0,36,37.83333333333333,14.695667274463837
2025-03-05,013601,whisper-ubuntu-gpu,NVIDIA L4,4,0,37,28.833333333333332,0.017365633411478683
2025-03-05,013611,whisper-ubuntu-gpu,NVIDIA L4,4,62,38,41.68055555555556,19.38438829556308
2025-03-05,013621,whisper-ubuntu-gpu,NVIDIA L4,4,0,38,28.73611111111111,0.017365633411478683
2025-03-05,013632,whisper-ubuntu-gpu,NVIDIA L4,4,0,37,23.055555555555557,0.017365633411478683
2025-03-05,013642,whisper-ubuntu-gpu,NVIDIA L4,4,69,40,52.66666666666667,22.362594425631674
2025-03-05,013652,whisper-ubuntu-gpu,NVIDIA L4,4,51,38,39.61111111111111,9.6335851350178
2025-03-05,013702,whisper-ubuntu-gpu,NVIDIA L4,4,0,37,28.611111111111114,0.004341408352869671
