date,timestamp,container name,processor/gpu name,core/gpu count,max usage (%),max gpu temperature (C),max pwr:usage/cap (%),max vram usage (%),startup time (s),task time (s),shutdown time (s),total time (s),cpu usage (%),memory usage (MB)
2025-04-18,20:09:54,whisper-small_en-ubuntu_harvard_gpu_fast-gpu0,NVIDIA L4,24,0,45,27.1,0.0,7.152557373046875e-07,0,0.05170035362243652,0.05170035362243652,8.7,3512.96
2025-04-18,20:09:55,whisper-small_en-ubuntu_jfk-audio-inaugural-address-20-january-1961_cpu_fast,NVIDIA L4,24,0,45,31.28,0.01,4.76837158203125e-07,0,0.14476227760314941,0.14476227760314941,4.6,3666.39
2025-04-18,20:09:55,whisper-small_en-ubuntu_jfk-audio-inaugural-address-20-january-1961_cpu_complex,NVIDIA L4,24,0,44,30.1,0.01,1.9073486328125e-06,0,0.057840585708618164,0.057840585708618164,8.8,3979.2
2025-04-18,20:10:24,whisper-small_en-ubuntu_jfk-audio-rice-university-12-september-1962_cpu_fast,NVIDIA L4,24,0,46,30.19,0.0,7.152557373046875e-07,0,0.05772137641906738,0.05772137641906738,42.1,11574.81
2025-04-18,20:10:25,whisper-small_en-ubuntu_jfk-audio-inaugural-address-20-january-1961_gpu_complex-gpu3,NVIDIA L4,24,0,45,26.67,0.0,1.9073486328125e-06,0,0.05472373962402344,0.05472373962402344,22.6,11555.65
2025-04-18,20:10:26,whisper-small_en-ubuntu_jfk-audio-inaugural-address-20-january-1961_gpu_fast-gpu2,NVIDIA L4,24,0,45,26.94,0.0,1.9073486328125e-06,0,0.05255532264709473,0.05255532264709473,35.7,12084.05
2025-04-18,20:10:29,whisper-small_en-ubuntu_jfk-audio-rice-university-12-september-1962_cpu_complex,NVIDIA L4,24,0,45,26.74,0.0,1.9073486328125e-06,0,0.6949305534362793,0.6949305534362793,22.8,13699.07
2025-04-18,20:11:34,whisper-small_en-ubuntu_jfk-audio-rice-university-12-september-1962_gpu_complex-gpu1,NVIDIA L4,24,0,44,26.51,0.0,3.0994415283203125e-06,0,0.06006741523742676,0.06006741523742676,34.3,19599.76
2025-04-18,20:11:34,whisper-small_en-ubuntu_jfk-audio-rice-university-12-september-1962_gpu_fast-gpu0,NVIDIA L4,24,0,44,26.51,0.0,7.152557373046875e-07,0,0.08913731575012207,0.08913731575012207,33.3,19664.87
2025-04-18,20:31:03,whisper-medium_en-ubuntu_harvard_cpu_fast,NVIDIA L4,24,0,44,26.97,0.0,1.6689300537109375e-06,0,0.681006908416748,0.681006908416748,4.6,1944.27
2025-04-18,20:31:04,whisper-medium_en-ubuntu_harvard_cpu_complex,NVIDIA L4,24,0,44,26.97,0.0,1.9073486328125e-06,0,0.04957079887390137,0.04957079887390137,5.2,2064.9
2025-04-18,20:31:37,whisper-medium_en-ubuntu_jfk-audio-inaugural-address-20-january-1961_cpu_fast,NVIDIA L4,24,0,44,30.29,0.0,1.9073486328125e-06,0,0.05564594268798828,0.05564594268798828,13.5,6980.96
2025-04-18,20:31:38,whisper-medium_en-ubuntu_harvard_gpu_fast-gpu0,NVIDIA L4,24,0,44,30.29,0.0,7.152557373046875e-07,0,0.07767009735107422,0.07767009735107422,8.3,3974.53
2025-04-18,20:31:38,whisper-medium_en-ubuntu_harvard_gpu_complex-gpu1,NVIDIA L4,24,0,44,30.29,0.0,4.76837158203125e-07,0,0.05664658546447754,0.05664658546447754,8.3,3136.14
2025-04-18,20:31:39,whisper-medium_en-ubuntu_jfk-audio-inaugural-address-20-january-1961_cpu_complex,NVIDIA L4,24,0,44,26.61,0.0,1.6689300537109375e-06,0,0.3112349510192871,0.3112349510192871,3.7,3484.48
2025-04-18,20:32:10,whisper-medium_en-ubuntu_jfk-audio-inaugural-address-20-january-1961_gpu_complex-gpu3,NVIDIA L4,24,0,45,23.07,0.0,1.1920928955078125e-06,0,0.06038641929626465,0.06038641929626465,21.8,11251.89
2025-04-18,20:32:10,whisper-medium_en-ubuntu_jfk-audio-rice-university-12-september-1962_cpu_fast,NVIDIA L4,24,0,45,23.07,0.0,7.152557373046875e-07,0,0.06177830696105957,0.06177830696105957,24.6,11405.05
2025-04-18,20:32:11,whisper-medium_en-ubuntu_jfk-audio-inaugural-address-20-january-1961_gpu_fast-gpu2,NVIDIA L4,24,0,44,23.07,0.0,7.152557373046875e-07,0,0.06379866600036621,0.06379866600036621,29.7,11591.86
2025-04-18,20:32:12,whisper-medium_en-ubuntu_jfk-audio-rice-university-12-september-1962_cpu_complex,NVIDIA L4,24,0,45,26.68,0.0,2.86102294921875e-06,0,0.5411856174468994,0.5411856174468994,22.3,12209.31
