date,timestamp,container_name,token_count,tokens_per_second,audio_duration,real_time_factor,container_runtime_sec,wer,mer,wil,wip,cer,threads
2025-04-18,19:29:36,whisper-tiny_en-ubuntu_harvard_gpu_complex-gpu1,43,1.87,18.356,1.253,23,0.0000,0.0000,0.0000,1.0000,0.0000,0
2025-04-18,19:29:54,whisper-tiny_en-ubuntu_harvard_cpu_fast,43,1.07,18.356,2.179,40,0.0000,0.0000,0.0000,1.0000,0.0000,4
2025-04-18,19:29:57,whisper-tiny_en-ubuntu_harvard_gpu_fast-gpu0,43,0.98,18.356,2.397,44,0.0000,0.0000,0.0000,1.0000,0.0000,0
2025-04-18,19:30:01,whisper-tiny_en-ubuntu_harvard_cpu_complex,43,0.90,18.356,2.615,48,0.0000,0.0000,0.0000,1.0000,0.0000,4
2025-04-18,19:30:19,whisper-tiny_en-ubuntu_jfk-audio-inaugural-address-20-january-1961_gpu_fast-gpu2,1439,22.14,930.142,0.070,65,0.2239,0.2119,0.3112,0.6888,0.0883,0
2025-04-18,19:30:41,whisper-tiny_en-ubuntu_jfk-audio-inaugural-address-20-january-1961_gpu_complex-gpu3,1471,16.72,930.142,0.095,88,0.2419,0.2218,0.3118,0.6882,0.1097,0
2025-04-18,19:30:47,whisper-tiny_en-ubuntu_jfk-audio-rice-university-12-september-1962_gpu_fast-gpu0,2209,23.50,1107.122,0.085,94,0.1599,0.1583,0.2429,0.7571,0.0434,0
2025-04-18,19:31:10,whisper-tiny_en-ubuntu_jfk-audio-rice-university-12-september-1962_gpu_complex-gpu1,2216,18.78,1107.122,0.107,118,0.1654,0.1628,0.2565,0.7435,0.0428,0
2025-04-18,19:43:11,whisper-tiny_en-ubuntu_jfk-audio-inaugural-address-20-january-1961_cpu_fast,1432,1.70,930.142,0.903,840,0.2600,0.2468,0.3629,0.6371,0.0889,4
2025-04-18,19:46:22,whisper-tiny_en-ubuntu_jfk-audio-rice-university-12-september-1962_cpu_fast,2240,2.17,1107.122,0.931,1031,0.5502,0.5472,0.7220,0.2780,0.1010,4
2025-04-18,19:47:25,whisper-tiny_en-ubuntu_jfk-audio-inaugural-address-20-january-1961_cpu_complex,1439,1.32,930.142,1.175,1093,0.2231,0.2102,0.3043,0.6957,0.0870,4
2025-04-18,19:48:53,whisper-tiny_en-ubuntu_jfk-audio-rice-university-12-september-1962_cpu_complex,2206,1.87,1107.122,1.068,1182,0.1885,0.1859,0.2904,0.7096,0.0349,4
2025-04-18,19:49:31,whisper-base_en-ubuntu_harvard_gpu_fast-gpu0,43,1.26,18.356,1.852,34,0.0000,0.0000,0.0000,1.0000,0.0000,0
2025-04-18,19:49:38,whisper-base_en-ubuntu_harvard_gpu_complex-gpu1,,NA,18.356,2.343,43,NA,NA,NA,NA,NA,0
2025-04-18,19:49:41,whisper-base_en-ubuntu_harvard_cpu_fast,43,0.98,18.356,2.397,44,0.0000,0.0000,0.0000,1.0000,0.0000,4
2025-04-18,19:49:46,whisper-base_en-ubuntu_harvard_cpu_complex,43,0.86,18.356,2.724,50,0.0000,0.0000,0.0000,1.0000,0.0000,4
2025-04-18,19:50:11,whisper-base_en-ubuntu_jfk-audio-inaugural-address-20-january-1961_gpu_fast-gpu2,1424,18.99,930.142,0.081,75,0.2171,0.2069,0.3065,0.6935,0.0780,0
2025-04-18,19:50:28,whisper-base_en-ubuntu_jfk-audio-rice-university-12-september-1962_gpu_fast-gpu0,2216,24.35,1107.122,0.082,91,0.1631,0.1619,0.2498,0.7502,0.0397,0
2025-04-18,19:50:43,whisper-base_en-ubuntu_jfk-audio-inaugural-address-20-january-1961_gpu_complex-gpu3,1461,13.40,930.142,0.117,109,0.5041,0.4749,0.6372,0.3628,0.1288,0
2025-04-18,19:51:02,whisper-base_en-ubuntu_jfk-audio-rice-university-12-september-1962_gpu_complex-gpu1,2216,17.31,1107.122,0.116,128,0.1654,0.1628,0.2565,0.7435,0.0432,0
2025-04-18,20:02:48,whisper-base_en-ubuntu_jfk-audio-inaugural-address-20-january-1961_cpu_fast,1453,1.74,930.142,0.896,833,0.2735,0.2563,0.3715,0.6285,0.1044,4
2025-04-18,20:06:42,whisper-base_en-ubuntu_jfk-audio-rice-university-12-september-1962_cpu_fast,2206,2.07,1107.122,0.965,1068,0.1977,0.1944,0.2887,0.7113,0.0594,4
2025-04-18,20:08:09,whisper-base_en-ubuntu_jfk-audio-inaugural-address-20-january-1961_cpu_complex,1468,1.27,930.142,1.241,1154,0.2998,0.2779,0.3916,0.6084,0.1171,4
2025-04-18,20:09:16,whisper-base_en-ubuntu_jfk-audio-rice-university-12-september-1962_cpu_complex,2227,1.82,1107.122,1.104,1222,0.1972,0.1930,0.2972,0.7028,0.0422,4
